Carteira,Data_Recomendada
N416606397,07/02/2025
N986606397,07/02/2025
N364695397,06/02/2025
N745695397,06/02/2025
N027885397,05/02/2025
N467885397,05/02/2025
N253155397,04/02/2025
N616955397,04/02/2025
N253155397,03/02/2025
N616955397,03/02/2025
N253155397,31/01/2025
N903155397,31/01/2025
N113345397,30/01/2025
N953345397,30/01/2025
N212735397,29/01/2025
N841735397,29/01/2025
N467825397,28/01/2025
N965825397,28/01/2025
N704305397,27/01/2025
N705305397,27/01/2025
N616094397,24/01/2025
N935094397,24/01/2025
N847874397,23/01/2025
N976874397,23/01/2025
N086264397,22/01/2025
N936264397,22/01/2025
N086264397,21/01/2025
N936264397,21/01/2025
N063454397,20/01/2025
N824454397,20/01/2025
N552744397,17/01/2025
N691744397,17/01/2025
N807634397,16/01/2025
N866634397,16/01/2025
N807634397,15/01/2025
N866634397,15/01/2025
N504034397,14/01/2025
N743034397,14/01/2025
N543904397,13/01/2025
N604904397,13/01/2025
N327793397,10/01/2025
N396793397,10/01/2025
N344493397,09/01/2025
N704493397,09/01/2025
N344493397,08/01/2025
N704493397,08/01/2025
N378983397,07/01/2025
N628983397,07/01/2025
N199873397,06/01/2025
N739873397,06/01/2025
N018963397,03/01/2025
N167963397,03/01/2025
N591063397,02/01/2025
N961063397,02/01/2025
N649743397,30/12/2024
N750843397,30/12/2024
N353343397,27/12/2024
N803343397,27/12/2024
N139833397,26/12/2024
N598833397,26/12/2024
N498513397,23/12/2024
N939513397,23/12/2024
N018803397,20/12/2024
N297803397,20/12/2024
N018803397,19/12/2024
N297803397,19/12/2024
N487003397,17/12/2024
N667003397,17/12/2024
N040982397,16/12/2024
N580982397,16/12/2024
N033082397,13/12/2024
N141082397,13/12/2024
N250762397,12/12/2024
N569662397,12/12/2024
N013852397,11/12/2024
N722852397,11/12/2024
N299812397,10/12/2024
N440912397,10/12/2024
N299812397,09/12/2024
N440912397,09/12/2024
N281212397,06/12/2024
N812212397,06/12/2024
N112902397,05/12/2024
N732902397,05/12/2024
N042402397,04/12/2024
N212402397,04/12/2024
N742891397,03/12/2024
N781891397,03/12/2024
N106371397,02/12/2024
N436371397,02/12/2024
N235561397,29/11/2024
N914561397,29/11/2024
N391951397,28/11/2024
N831951397,28/11/2024
N074151397,27/11/2024
N724151397,27/11/2024
N074151397,26/11/2024
N724151397,26/11/2024
N208241397,25/11/2024
N967241397,25/11/2024
N114931397,22/11/2024
N934931397,22/11/2024
N634821397,21/11/2024
N664821397,21/11/2024
N100221397,19/11/2024
N279121397,19/11/2024
N013501397,18/11/2024
N713501397,18/11/2024
N189590397,14/11/2024
N310690397,14/11/2024
N392780397,13/11/2024
N482780397,13/11/2024
N392780397,12/11/2024
N482780397,12/11/2024
N761870397,11/11/2024
N971870397,11/11/2024
N747570397,08/11/2024
N907570397,08/11/2024
N763260397,05/11/2024
N873260397,05/11/2024
N245050397,01/11/2024
N385350397,01/11/2024
N135050397,31/10/2024
N245050397,31/10/2024
N225540397,30/10/2024
N383540397,30/10/2024